,Skewness,Kurtosis
Je trouve que la gestion simultanée de deux ou plusieurs courriels (suppression marquage comme lu etc.) est un véritable jeu d'enfant:,0.48407703190967827,-0.8863096186911914
Je préfère généralement afficher les courriels dans une orientation:,0.6960484990438687,-0.9618650593637996
Si j'utilise la vue horizontale des courriers électroniques le fait de cliquer sur « Répondre » m'amène à espérer pouvoir répondre:,-0.6890010047673562,-1.5252776154295737
Il me semble que les icônes de gestion des e-mails sont:,0.09517693027568914,-1.1857192727653574
L'utilisation du bouton « Ajouter étiquette » est claire pour moi:,0.34285416123994744,-0.9050241821823879
Je trouve que les icônes pour la gestion du courrier électronique sont:,0.5780009917936074,-1.360217612725125
Je trouve que le fonctionnement des étiquettes des courriers électroniques est confus:,0.0032785803007487875,-0.8398249307479229
Je pense que le déplacement de courriers électroniques d'un dossier à l'autre est une opération:,-0.399777462193668,-0.7936123659822787
La recherche d'un courrier électronique dans un dossier donné est:,0.3305918343031707,-0.9990261645030922
En général je considère que l'utilisation des Mails est:,-0.09909325959216411,-0.9747551354757404
